Using the result of 'hadoop classpath' to augment the Hadoop classpath: /usr/local/hadoop/etc/hadoop:/usr/local/hadoop/share/hadoop/common/lib/*:/usr/local/hadoop/share/hadoop/common/*:/usr/local/hadoop/share/hadoop/hdfs:/usr/local/hadoop/share/hadoop/hdfs/lib/*:/usr/local/hadoop/share/hadoop/hdfs/*:/usr/local/hadoop/share/hadoop/yarn:/usr/local/hadoop/share/hadoop/yarn/lib/*:/usr/local/hadoop/share/hadoop/yarn/*:/usr/local/hadoop/share/hadoop/mapreduce/lib/*:/usr/local/hadoop/share/hadoop/mapreduce/*:/usr/local/hadoop/contrib/capacity-scheduler/*.jar
Cluster configuration: Standalone cluster with JobManager at localhost/127.0.0.1:6123
Using address localhost:6123 to connect to JobManager.
JobManager web interface address http://localhost:8081
Starting execution of program
Submitting job with JobID: 75d4cb4c473ffb4dbc1124ebe1973139. Waiting for job completion.
Connected to JobManager at Actor[akka.tcp://flink@localhost:6123/user/jobmanager#1284012604] with leader session id 00000000-0000-0000-0000-000000000000.
05/22/2018 13:52:40	Job execution switched to status RUNNING.
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to SCHEDULED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to DEPLOYING 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to RUNNING 
05/22/2018 13:52:41	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to FINISHED 
05/22/2018 13:52:41	Job execution switched to status FINISHED.
("Baton Rouge Metropolitan, Ryan ",Baton Rouge)
(Grand Strand,North Myrtle Beach,SC)
(Grandfield Municipal,Grandfield,OK)
(Grant County,Moses Lake,WA)
(Grant County,Petersburg,WV)
(Grant County,Silver City,NM)
(Grant County ,Hyannis,NE)
(Grant Municipal,Grant,NE)
(Grants Pass,Grants Pass,OR)
(Grants-Milan Municipal,Grants,NM)
(Granville,Granville,NY)
(Gratiot Community,Alma,MI)
(Grayling,Grayling,AK)
(Grayling Army Airfield,Grayling,MI)
(Grayson County,Sherman/Denison,TX)
(Great Barrington,Great Barrington,MA)
(Great Bend Municipal,Great Bend,KS)
(Great Falls Intl,Great Falls,MT)
(Greater Beardstown,Beardstown,IL)
(Greater Kankakee,Kankakee,IL)
(Greater Peoria Regional,Peoria,IL)
(Greater Portsmouth Regional,Portsmouth,OH)
(Greater Rochester Int'l,Rochester,NY)
(Greater Rockford,Rockford,IL)
(Greater St. Tammany Parish ,Covington,LA)
(Greeley Municipal,Greeley,NE)
(Greeley-Weld County,Greeley,CO)
(Green River Muni,Green River,UT)
(Greenbrier Valley,Lewisburg,WV)
(Greene County,Dayton,OH)
(Greene County Airpark,Greensboro,GA)
(Greene Cty,Waynesburg,PA)
(Greeneville Municipal,Greeneville,TN)
(Greenfield Municipal,Greenfield,IA)
(Greenlee County,Clifton-Morenci,AZ)
(Greensboro Municipal,Greensboro,AL)
(Greensburg-Decatur County ,Greensburg,IN)
(Greenville,Greenville,IL)
(Greenville Downtown,Greenville,SC)
(Greenville Muni,Greenville,PA)
(Greenville Municipal,Greenville,AL)
(Greenville Municipal,Greenville,ME)
(Greenville Municipal,Greenville,MI)
(Greenville-Spartanburg,Greer,SC)
(Greenwood County,Greenwood,SC)
(Greenwood Lake,West Milford,NJ)
(Greenwood Municipal,Indianapolis/Greenwood,IN)
(Greenwood-Leflore,Greenwood,MS)
(Gregg County,Longview,TX)
(Gregory Municipal,Gregory,SD)
(Grenada Municipal,Grenada,MS)
(Grider ,Pine Bluff,AR)
(Griffin-Spaulding County ,Griffin,GA)
(Griffis Airpark,Rome,NY)
(Griffith-Merrillville ,Griffith,IN)
(Grimes ,Urbana,OH)
(Grinnell Municipal,Grinnell,IA)
(Griswold,Madison,CT)
(Grosse Ile Municipal,Detroit - Grosse Ile,MI)
(Groton-New London,Groton,CT)
(Grove ,Camas/Washougal,WA)
(Grove City,Grove City,PA)
(Grove Hill Municipal,Grove Hill,AL)
(Grove Municipal,Grove,OK)
(Grundy Municipal,Grundy,VA)
(Gruver Municipal,Gruver,TX)
(Guam International,Agana,GU)
(Gulfport-Biloxi Regional,Gulfport-Biloxi,MS)
(Gulkana,Gulkana,AK)
(Gunnison County,Gunnison,CO)
(Guntersville Municipal,Guntersville,AL)
(Gustavus,Gustavus,AK)
(Gustine,Gustine,CA)
(Guthrie County Regional,Guthrie Center,IA)
(Guthrie Municipal,Guthrie,OK)
(Guymon Municipal,Guymon,OK)
(Gwinner-Roger Melroe ,Gwinner,ND)
(Gwinnett County ,Lawrenceville,GA)
(H.A. Clark Memorial ,Williams,AZ)
(Habersham County,Cornelia,GA)
(Hagerstown Regional-Richard Henson ,Hagerstown,MD)
(Haigh ,Orland,CA)
(Haines,Haines,AK)
(Haines SPB,Haines,AK)
(Hale County,Plainview,TX)
(Half Moon Bay,Half Moon Bay,CA)
(Halifax County,Roanoke Rapids,NC)
(Hall-Miller Municipal,Atlanta,TX)
(Halliburton ,Duncan,OK)
(Hallock Municipal,Hallock,MN)
(Hamburg Inc.,Hamburg,NY)
(Hamilton Municipal,Hamilton,TX)
(Hamilton Municipal ,Hamilton,NY)
(Hamilton-Fairfield,Hamilton,OH)
(Hammond Municipal,Hammond,LA)
(Hammonton Muni,Hammonton,NJ)
(Hampton Municipal,Hampton,IA)
(Hampton Roads Executive,Portsmouth,VA)
(Hamry ,Kindred,ND)
(Hana,Hana,HI)
(Hancock Co-Bar Harbor,Bar Harbor,ME)
(Hanford Municipal,Hanford,CA)
(Hankins ,Parshall,ND)
(Hanksville,Hanksville,UT)
(Hannibal Municipal,Hannibal,MO)
(Hanover County Municipal,Richmond,VA)
(Happy Camp,Happy Camp,CA)
(Harbor Springs,Harbor Springs,MI)
(Hardin County,Kenton,OH)
(Harding County,Buffalo,SD)
(Hardwick ,Cleveland,TN)
(Harlan Municipal,Harlan,IA)
(Harlem,Harlem,MT)
(Harnett County,Erwin,NC)
(Harold Davidson ,Vermillion,SD)
(Harrell ,Camden,AR)
(Harriet Alexander ,Salida,CO)
(Harriman And West,North Adams,MA)
(Harrisburg Intl,Harrisburg,PA)
(Harrisburg-Raleigh,Harrisburg,IL)
(Harrison County,Cadiz,OH)
(Harry Clever ,New Philadelphia,OH)
(Harry P. Williams Memorial,Patterson,LA)
(Harry Stern,Wahpeton,ND)
(Harry W Browne,Saginaw - H.Browne,MI)
(Hart,Many,LA)
(Hartford Brainard,Hartford,CT)
(Hartford Municipal,Hartford,WI)
(Hartington Municipal,Hartington,NE)
(Hartsville Municipal,Hartsville,SC)
(Harvard State,Harvard,NE)
(Harvey ,Snohomish,WA)
(Harvey Municipal,Harvey,ND)
(Haskell Municipal,Haskell,TX)
(Hassel ,Clifton,TN)
(Hastings Municipal,Hastings,MI)
(Hastings Municipal,Hastings,NE)
(Hatch Muni,Hatch,NM)
(Hattiesburg-Laurel Regional,Hattiesburg-Laurel,MS)
(Havana Regional,Havana,IL)
(Havre City-County,Havre,MT)
(Hawk Inlet SPB,Hawk Inlet,AK)
(Hawkins ,Jackson,MS)
(Hawkins County,Rogersville,TN)
(Hawley Municipal,Hawley,MN)
(Hawthorne Municipal,Hawthorne,NV)
(Haycock,Haycock,AK)
(Hayfork,Hayfork,CA)
(Hays Municipal,Hays,KS)
(Hayward Executive,Hayward,CA)
(Hazelhurst,Hazelhurst,GA)
(Hazleton Muni,Hazleton,PA)
(Headland Municipal,Headland,AL)
(Healdsburg Municipal,Healdsburg,CA)
(Healdton Municipal,Healdton,OK)
(Healy River,Healy,AK)
(Hearne Municipal,Hearne,TX)
(Heber City Municipal/Russ McDonald ,Heber,UT)
(Heber Springs Municipal,Heber Springs,AR)
(Hebron Municipal,Hebron,NE)
(Hector International,Fargo,ND)
(Hector Municipal,Hector,MN)
(Helena Regional,Helena,MT)
(Hemet-Ryan,Hemet,CA)
(Hemphill County,Canadian,TX)
(Henderson,Las Vegas,NV)
(Henderson ,Wallace,NC)
(Henderson City-County,Henderson,KY)
(Henderson-Oxford,Oxford,NC)
(Henry County,Napoleon,OH)
(Henry County,Paris,TN)
(Henry E. Rohlsen ,Christiansted,VI)
(Henry Tift Myers,Tifton,GA)
(Henryetta Municipal,Henryetta,OK)
(Herbert Smart Downtown,Macon,GA)
(Hereford Municipal,Hereford,TX)
(Herington Municipal,Herington,KS)
(Herlong,Jacksonville,FL)
(Hermiston Muni,Hermiston,OR)
(Hernando County,Brooksville,FL)
(Hesler-Noble ,Laurel,MS)
(Hesperia,Hesperia,CA)
(Hettinger Municipal,Hettinger,ND)
(Hickory Municipal,Hickory,NC)
(Higginsville Industrial Municipal,Higginsville,MO)
(Highland County,Hillsboro,OH)
(Highmore Municipal,Highmore,SD)
(Hill City Municipal,Hill City,KS)
(Hilliard Airpark,Hilliard,FL)
(Hillsboro Municipal,Hillsboro,ND)
(Hillsboro Municipal,Hillsboro,TX)
(Hillsdale Municipal,Hillsdale,MI)
(Hilo International,Hilo,HI)
(Hilton Head,Hilton Head Island,SC)
(Hilton Head,NA,NA)
(Hinton Municipal,Hinton,OK)
(Hobart Municipal,Hobart,OK)
(Hobby ,Creswell,OR)
(Holbrook Municipal,Holbrook,AZ)
(Holdenville Municipal,Holdenville,OK)
(Hollandale Municipal,Hollandale,MS)
(Hollis Municipal,Hollis,OK)
(Hollis SPB,Hollis,AK)
(Hollister Municipal,Hollister,CA)
(Holly Springs-Marshall County,Holly Springs,MS)
(Holmes County,Millersburg,OH)
(Holtville,Holtville,CA)
(Holy Cross,Holy Cross,AK)
(Holyoke,Holyoke,CO)
(Homedale Municipal,Homedale,ID)
(Homer,Homer,AK)
(Homer Municipal,Homer,LA)
(Homerville,Homerville,GA)
(Homestead General Aviation,Homestead,FL)
(Hominy,Hominy,OK)
(Hondo Municipal,Hondo,TX)
(Honolulu International,Honolulu,HI)
(Hood River,Hood River,OR)
(Hook Field Municipal,Middletown,OH)
(Hooker Municipal,Hooker,OK)
(Hoonah,Hoonah,AK)
(Hoonah SPB,Hoonah,AK)
(Hoopa,Hoopa,CA)
(Hooper Bay,Hooper Bay,AK)
(Hope,Hope,AK)
(Hope Municipal,Hope,AR)
(Hopkins ,Nucla,CO)
(Hopkinsville-Christian County,Hopkinsville,KY)
(Hornell Muni,Hornell,NY)
(Horseshoe Bend,Horseshoe Bend,AR)
(Hot Springs County-Thermopolis Municipal,Thermopolis,WY)
(Hot Springs Municipal,Hot Springs,SD)
(Houghton County Memorial,Hancock,MI)
(Houlton International,Houlton,ME)
(Houma-Terrebonne,Houma,LA)
(Houston County,Caledonia,MN)
(Houston Memorial,Houston,MO)
(Houston Municipal,Houston,MS)
(Houston-Gulf,Houston,TX)
(Hoven Municipal,Hoven,SD)
(Howard County,Nashville,AR)
(Howard Municipal,Howard,SD)
(Hughes,Hughes,AK)
(Hugoton Municipal,Hugoton,KS)
(Humacao,Humacao,PR)
(Humboldt Municipal,Humboldt,IA)
(Humboldt Municipal,Humboldt,TN)
(Humphreys County,Waverly,TN)
(Hunt ,Lander,WY)
(Huntingburg,Huntingburg,IN)
(Huntington Municipal,Huntington,IN)
(Huntsville International ,Huntsville,AL)
(Huntsville Municipal,Huntsville,TX)
(Huron County,Norwalk,OH)
(Huron County Memorial,Bad Axe,MI)
(Huron Regional,Huron,SD)
(Huslia,Huslia,AK)
(Hutchinson County,Borger,TX)
(Hutchinson Municipal,Hutchinson,KS)
(Hutchinson Municipal,Hutchinson,MN)
(Hydaburg SPB,Hydaburg,AK)
(Hyde County,Englehard,NC)
(Hyder SPB,Hyder,AK)
(I H Bass Jr Memorial,Lumberton,MS)
(Idaho County,Grangeville,ID)
(Idaho Falls Regional,Idaho Falls,ID)
(Igiugig,Igiugig,AK)
(Igor I Sikorsky Memorial,Bridgeport,CT)
(Iliamna,Iliamna,AK)
(Illinois Valley,Illinois Valley (Cave Junction),OR)
(Illinois Valley Regional,Peru/Lasalle,IL)
(Immokalee,Immokalee,FL)
(Imperial County,Imperial,CA)
(Imperial Municipal,Imperial,NE)
(Independence,Independence,CA)
(Independence Municipal,Independence,IA)
(Independence Municipal,Independence,KS)
(Independence State,Independence,OR)
(Indiana Cty/Jimmy Stewart,Indiana,PA)
(Indianapolis Downtown,Indianapolis,IN)
(Indianapolis International,Indianapolis,IN)
(Indianapolis Metropolitan,Indianapolis,IN)
(Indianapolis Terry,Indianapolis,IN)
(Indianola Municipal,Indianola,MS)
(Ingalls ,Hot Springs,VA)
(Ingersoll,Canton,IL)
(International,Edinburg,TX)
(International Peace Garden,Dunseith,ND)
(Inverness,Inverness,FL)
(Inyokern,Inyokern,CA)
(Ione Municipal,Ione,WA)
(Ionia County,Ionia,MI)
(Iowa City Municipal,Iowa City,IA)
(Iowa County,Mineral Point,WI)
(Iowa Falls Municipal,Iowa Falls,IA)
(Isbell ,Fort Payne,AL)
(Islesboro,Islesboro,ME)
(Ivanof Bay SPB,Ivanof Bay,AK)
(J Lynn Helms Sevier County,De Queen,AR)
(Jack Barstow,Midland,MI)
(Jack Edwards,Gulf Shores,AL)
(Jack McNamara ,Crescent City,CA)
(Jack Northrop Field/Hawthorne Municipal,Hawthorne,CA)
(Jackpot/Hayden ,Jackpot,NV)
(Jacksboro Municipal,Jacksboro,TX)
(Jackson County,Edna/Ganado,TX)
(Jackson County,Gainesboro,TN)
(Jackson County,Jefferson,GA)
(Jackson County,Ravenswood,WV)
(Jackson County,Sylva,NC)
(Jackson County Reynolds ,Jackson,MI)
(Jackson Hole,Jackson,WY)
(Jackson International,Jackson,MS)
(Jackson Municipal,Jackson,AL)
(Jackson Municipal,Jackson,MN)
(Jacksonville International,Jacksonville,FL)
(Jacksonville Municipal,Jacksonville,IL)
(Jacksonville-Cherokee County,Jacksonville,TX)
(Jaffrey Municipal Silver Ranch,Jaffrey,NH)
(James A Rhodes,Jackson,OH)
(James C. Johnson Petersburg,Petersburg,AK)
(James Clements Municipal,Bay City,MI)
(James H. Easom ,Newton,MS)
(James M Cox Dayton Intl,Dayton,OH)
(Jamestown Municipal,Jamestown,ND)
(Jamestown Municipal,Jamestown,TN)
(Jasper County,Rensselaer,IN)
(Jasper County -Bell ,Jasper,TX)
(Jean,Jean,NV)
(Jeffco,Denver,CO)
(Jefferson City Memorial,Jefferson City,MO)
(Jefferson County Airpark,Steubenville,OH)
(Jefferson County International,Port Townsend,WA)
(Jefferson Municipal,Jefferson,IA)
(Jekyll Island,Jekyll Island,GA)
(Jena,Jena,LA)
(Jennings,Jennings,LA)
(Jerome County,Jerome,ID)
(Jerry Tyler Memorial,Niles,MI)
(Jesse Viertel Memorial,Boonville,MO)
(Jesup-Wayne County,Jesup,GA)
(Jicarilla Apache Nation,Dulce,NM)
(Jim Hogg County,Hebbronville,TX)
(Joe Foss ,Sioux Falls,SD)
(John Bell Williams,Raymond,MS)
(John C. Tune,Nashville,TN)
(John Day State,John Day,OR)
(John F Kennedy Intl,New York,NY)
(John F Kennedy Memorial,Ashland,WI)
(John H Batten ,Racine,WI)
(John H Hooks Jr Memorial,Rayville,LA)
(John Wayne /Orange Co,Santa Ana,CA)
(Johnson ,Walsenburg,CO)
(Johnson County,Buffalo,WY)
(Johnson County,Mountain City,TN)
(Johnson County Executive,Olathe,KS)
(Johnston County,Smithfield,NC)
(Johnstown-Cambria Cty,Johnstown,PA)
(Joliet Park District,Chicago/Joliet,IL)
(Jones ,Bonham,TX)
(Jones Memorial,Bristow,OK)
(Jonesboro,Jonesboro,LA)
(Jonesboro Municipal,Jonesboro,AR)
(Joplin Regional,Joplin,MO)
(Jordan,Jordan,MT)
(Joseph State,Joseph,OR)
(Joseph Y. Resnick,Ellenville,NY)
(Joslin Field - Magic Valley,Twin Falls,ID)
(Julian Carroll,Jackson,KY)
(Juneau Harbor,Juneau,AK)
(Juneau International,Juneau,AK)
(Kadoka Municipal,Kadoka,SD)
(Kahului,Kahului,HI)
(Kake,Kake,AK)
(Kake SPB,Kake,AK)
(Kalaeloa (John Rodgers ),Kapolei,HI)
(Kalamazoo County,Kalamazoo,MI)
(Kalaupapa,Kalaupapa,HI)
(Kalispell City,Kalispell,MT)
(Kalskag,Kalskag,AK)
(Kaltag,Kaltag,AK)
(Kamiah Municipal,Kamiah,ID)
(Kamp ,Durhamville,NY)
(Kanab Muni,Kanab,UT)
(Kansas City International,Kansas City,MO)
(Kantishna,Kantishna,AK)
(Kaolin ,Sandersville,GA)
(Kapalua,Lahaina,HI)
(Karl Stefan Memorial,Norfolk,NE)
(Karluk,Karluk,AK)
(Karnes County,Kenedy,TX)
(Kasaan SPB,Kasaan,AK)
(Kasigluk,Kasigluk,AK)
(Kay Larkin,Palatka,FL)
(Kayenta,Kayenta,AZ)
(Kearney Municipal,Kearney,NE)
(Kee ,Pineville,WV)
(Kelleys Island Land ,Kelleys Island,OH)
(Kelly,Oak Grove,LA)
(Kelso-Longview,Kelso,WA)
(Kemmerer Municipal,Kemmerer,WY)
(Kenai Municipal,Kenai,AK)
(Kendall-Tamiami Executive,Miami,FL)
(Kendallville Municipal,Kendallville,IN)
(Kenmare Municipal,Kenmare,ND)
(Kenmore Air Harbor Inc,Kenmore,WA)
(Kennett Memorial,Kennett,MO)
(Kenosha Regional,Kenosha,WI)
(Kent County International,Grand Rapids,MI)
(Kent State University,Kent,OH)
(Kentland Municipal,Kentland,IN)
(Kentucky Dam State Park,Gilbertsville,KY)
(Keokuk Municipal,Keokuk,IA)
(Kern Valley,Kernville,CA)
(Kerrville Muni/Louis Schreiner ,Kerrville,TX)
(Ketchikan International,Ketchikan,AK)
(Kewanee Municipal,Kewanee,IL)
(Key ,Meridian,MS)
(Key West International,Key West,FL)
(Keystone Airpark,Keystone Heights,FL)
(Kickapoo Downtown Airpark,Wichita Falls,TX)
(Killeen Municipal,Killeen,TX)
(Kimble County,Junction,TX)
(King Cove,King Cove,AK)
(King Salmon,King Salmon,AK)
(Kingman,Kingman,AZ)
(Kingman Municipal,Kingman,KS)
(Kings Land O' Lakes,Land O' Lakes,WI)
(Kingston-Ulster,Kingston,NY)
(Kinston Regional Jetport At Stallin,Kinston,NC)
(Kipnuk,Kipnuk,AK)
(Kirk ,Paragould,AR)
(Kirksville Regional,Kirksville,MO)
(Kirsch Municipal,Sturgis,MI)
(Kissimmee Municipal,Orlando,FL)
(Kit Carson County,Burlington,CO)
(Kitoi Bay SPB,Kitoi Bay,AK)
(Kivalina,Kivalina,AK)
(Klamath Falls International,Klamath Falls,OR)
(Klawock,Klawock,AK)
(Klawock SPB,Klawock,AK)
(Kleberg County,Kingsville,TX)
(Kneeland,Eureka,CA)
(Knox County,Mount Vernon,OH)
(Knox County Regional,Rockland,ME)
(Knoxville Downtown Island,Knoxville,TN)
(Knoxville Municipal,Knoxville,IA)
(Kobuk,Kobuk,AK)
(Kodiak ,Kodiak,AK)
(Kokhanok,Kokhanok,AK)
(Kokomo Municipal,Kokomo,IN)
(Koliganek,Koliganek,AK)
(Kona International At Keahole,Kailua/Kona,HI)
(Kongiganak,Kongiganak,AK)
(Kosciusko-Attala County,Kosciusko,MS)
(Kotlik,Kotlik,AK)
(Kountz - Hawthorne ,Kountze/Silsbee,TX)
(Koyuk,Koyuk,AK)
(Koyukuk,Koyukuk,AK)
(Kwethluk,Kwethluk,AK)
(Kwigillingok,Kwigillingok,AK)
(Kwinhagak,Quinhagak,AK)
(Kyle-Oakley ,Murray,KY)
(L M Clayton,Wolf Point,MT)
(L. O. Simenstad Municipal,Osceola,WI)
(La Crosse Municipal,La Crosse,WI)
(La Fleur,Northampton,MA)
(La Grande/Union County,La Grande,OR)
(La Junta Muni,La Junta,CO)
(La Moure Rott Municipal,La Moure (New Site),ND)
(La Porte Municipal,La Porte,IN)
(La Porte Municipal,La Porte,TX)
(LaGrange-Callaway,Lagrange,GA)
(LaGuardia,New York,NY)
(Labelle Municipal,Labelle,FL)
(Laconia Municipal,Laconia,NH)
(Lafayette Municipal,Lafayette,TN)
(Lafayette Regional,Lafayette,LA)
(Lake Charles Regional,Lake Charles,LA)
(Lake City Municipal,Lake City,FL)
(Lake County,Lakeview,OR)
(Lake County,Leadville,CO)
(Lake Elmo,St Paul,MN)
(Lake Havasu City,Lake Havasu City,AZ)
(Lake Hood SPB,Anchorage,AK)
(Lake In The Hills,Lake In The Hills,IL)
(Lake Louise,Lake Louise,AK)
(Lake Murray State Park,Overbrook,OK)
(Lake Placid,Lake Placid,NY)
(Lake Tahoe,South Lake Tahoe,CA)
(Lake Texoma State Park,Kingston,OK)
(Lake Village Municipal,Lake Village,AR)
(Lake Wales Municipal,Lake Wales,FL)
(Lakefield,Celina,OH)
(Lakefront,New Orleans,LA)
(Lakeland,Minocqua-Woodruff,WI)
(Lakeland Linder Regional,Lakeland,FL)
(Lakeview,Lakeview,MI)
(Lakewood,Lakewood,NJ)
(Lakin,Lakin,KS)
(Lakota Municipal,Lakota,ND)
(Lamar Muni,Lamar,CO)
(Lamar Municipal,Lamar,MO)
(Lambert-St Louis International,St Louis,MO)
(Lamesa Municipal,Lamesa,TX)
(Lamoni Municipal,Lamoni,IA)
(Lampasas Municipal,Lampasas,TX)
(Lampson ,Lakeport,CA)
(Lanai,Lanai City,HI)
(Lancaster,Lancaster,NY)
(Lancaster,Lancaster,PA)
(Lancaster,Lancaster,TX)
(Lancaster,Lancaster,WI)
(Lancaster County,Lancaster,SC)
(Lanett Municipal,Lanett,AL)
(Langlade County,Antigo,WI)
(Lansing Municipal,Chicago/Lansing,IL)
(Laramie Regional,Laramie,WY)
(Laredo International,Laredo,TX)
(Larned-Pawnee County,Larned,KS)
(Larsen Bay,Larsen Bay,AK)
(Las Cruces International,Las Cruces,NM)
(Las Vegas Municipal,Las Vegas,NM)
(Laughlin/Bullhead International,Bullhead City,AZ)
(Laurel Municipal,Laurel,MT)
(Laurence G Hanscom ,Bedford,MA)
(Laurens County,Laurens,SC)
(Laurinburg-Maxton,Maxton,NC)
(Lawrence,Corry,PA)
(Lawrence County ,Courtland,AL)
(Lawrence J Timmerman,Milwaukee,WI)
(Lawrence Municipal,Lawrence,KS)
(Lawrence Municipal,Lawrence,MA)
(Lawrence Smith Memorial,Harrisonville,MO)
(Lawrenceburg Municipal,Lawrenceburg,TN)
(Lawrenceville-Vincennes Municipal,Lawrenceville,IL)
(Lawton-Ft Sill Regional,Lawton,OK)
(Le Gros Memorial,Crowley,LA)
(Le Mars Municipal,Le Mars,IA)
(Le Sueur Municipal,Le Sueur,MN)
(Lea County,Jal,NM)
(Lea County Regional,Hobbs,NM)
(Lea County-Zip Franklin Memorial,Lovington,NM)
(Lea County/Tatum ,Tatum,NM)
(Lebanon Municipal,Lebanon,NH)
(Lebanon Municipal,Lebanon,TN)
(Lebanon State,Lebanon,OR)
(Lebanon-Springfield,Springfield,KY)
(Lebanon-Warren County,Lebanon,OH)
(Ledgedale Airpark,Brockport,NY)
(Lee C Fine Memorial,Kaiser/Lake Ozark,MO)
(Lee County,Bishopville,SC)
(Lee County-Marianna,Marianna,AR)
(Lee Gilmer Memorial,Gainesville,GA)
(Lee Vining,Lee Vining,CA)
(Lee's Summit Municipal,Lee's Summit,MO)
(Leesburg Executive ,Leesburg,VA)
(Leesburg Regional,Leesburg,FL)
(Leesville,Leesville,LA)
(Lehigh Valley International,Allentown,PA)
(Lemhi County,Salmon,ID)
(Lemmon Municipal,Lemmon,SD)
(Lenawee County,Adrian,MI)
(Leroy ,Le Roy,NY)
(Levelland Municipal,Levelland,TX)
(Levelock,Levelock,AK)
(Lewis County Regional,Monticello,MO)
(Lewis University,Chicago/Romeoville,IL)
(Lewiston-Nez Perce County,Lewiston,ID)
(Lewistown Muni,Lewistown,MT)
(Lexington,Lexington,OR)
(Lexington (Jim Kelly ),Lexington,NE)
(Libby,Libby,MT)
(Libby AAF-Sierra Vista Municipal,Fort Huachuca-Sierra Vista,AZ)
(Liberal Municipal,Liberal,KS)
(Liberty County,Chester,MT)
(Liberty County,Hinesville,GA)
(Liberty Municipal,Liberty,TX)
(Lihue,Lihue,HI)
(Lime Village,Lime Village,AK)
(Limon Municipal,Limon,CO)
(Lincoln,Lincoln,MT)
(Lincoln Co,Panaca,NV)
(Lincoln County,Lincolnton,NC)
(Lincoln Municipal,Lincoln,NE)
(Lincoln Park,Lincoln Park,NJ)
(Lincoln Regional,Lincoln,ME)
(Lincoln Regional ,Lincoln,CA)
(Linden ,Linden,NJ)
(Lindsay Municipal,Lindsay,OK)
(Linn Creek-Grand Glaize Memorial,Osage Beach,MO)
(Linn State Tech. College,Linn,MO)
(Linton Municipal,Linton,ND)
(Litchfield Municipal,Litchfield,IL)
(Litchfield Municipal,Litchfield,MN)
(Little Falls - Morrison County,Little Falls,MN)
(Little River,Little River,CA)
(Littlefield Municipal,Littlefield,TX)
(Livermore Municipal,Livermore,CA)
(Livingston County,Howell,MI)
(Livingston Municipal,Livingston,TN)
(Livingston Municipal,Livingston,TX)
(Llano Municipal,Llano,TX)
(Lloyd R. Roundtree Seaplane Facility,Petersburg,AK)
(Lockhart Municipal,Lockhart,TX)
(Lodi,Lodi,CA)
(Logan County,Lincoln,IL)
(Logan County,Logan,WV)
(Logan-Cache,Logan,UT)
(Logansport Municipal,Logansport,IN)
(Lompoc,Lompoc,CA)
(London-Corbin  Magee ,London,KY)
(Lone Pine,Lone Pine,CA)
(Lonesome Pine,Wise,VA)
(Long Beach (Daugherty ),Long Beach,CA)
(Long Island - MacArthur,Islip,NY)
(Longville Municipal,Longville,MN)
(Lonnie Pool /Weaverville,Weaverville,CA)
(Lopez Island,Lopez,WA)
(Lorain Co Regional,Lorain/Elyria,OH)
(Lordsburg Municipal,Lordsburg,NM)
(Los Alamos,Los Alamos,NM)
(Los Angeles International,Los Angeles,CA)
(Los Banos Municipal,Los Banos,CA)
(Lost Hills-Kern County,Lost Hills,CA)
(Lost Nation,Willoughby,OH)
(Louisa County / Freeman ,Louisa,VA)
(Louisiana Regional,Gonzales,LA)
(Louisville International-Standiford ,Louisville,KY)
(Louisville Municipal,Louisville,GA)
(Louisville-Winston County,Louisville,MS)
(Loup City Municipal,Loup City,NE)
(Lovell ,Chattanooga,TN)
(Lt Warren Eaton,Norwich,NY)
(Lubbock International,Lubbock,TX)
(Luce County Hale,Newberry,MI)
(Lufkin-Angelina County,Lufkin,TX)
(Luis Munoz Marin International,San Juan,PR)
(Luka ,Luka,MS)
(Lumberton Municipal,Lumberton,NC)
(Lunenburg County,Kenbridge,VA)
(Luray Caverns,Luray,VA)
(Lusk Muni,Lusk,WY)
(Lynchburg Municipal-Preston Glenn ,Lynchburg,VA)
